Tasa Anual (%);BBVA;Comercio;Crédito;Pichincha;BIF;Scotiabank;Citibank;Interbank;Mibanco;GNB;Falabella;Santander;Ripley;Alfin;ICBC;Bank of China;BCI;Fecha;Tipo de Empresa
     Descuentos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Corporativos
     Préstamos hasta 30 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Corporativos
     Préstamos de 31 a 90 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Corporativos
     Préstamos de 91 a 180 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Corporativos
     Préstamos de 181 a 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Corporativos
     Préstamos a más de 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Corporativos
     Descuentos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Grandes Empresas
     Préstamos hasta 30 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Grandes Empresas
     Préstamos de 31 a 90 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Grandes Empresas
     Préstamos de 91 a 180 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Grandes Empresas
     Préstamos de 181 a 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Grandes Empresas
     Préstamos a más de 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Grandes Empresas
     Descuentos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Medianas Empresas
     Préstamos hasta 30 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Medianas Empresas
     Préstamos de 31 a 90 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Medianas Empresas
     Préstamos de 91 a 180 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Medianas Empresas
     Préstamos de 181 a 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Medianas Empresas
     Préstamos a más de 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Medianas Empresas
     Descuentos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Pequeñas Empresas
     Préstamos hasta 30 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Pequeñas Empresas
     Préstamos de 31 a 90 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Pequeñas Empresas
     Préstamos de 91 a 180 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Pequeñas Empresas
     Préstamos de 181 a 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Pequeñas Empresas
     Préstamos a más de 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Pequeñas Empresas
     Tarjetas de Crédito;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Microempresas
     Descuentos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Microempresas
     Préstamos Revolventes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Microempresas
     Préstamos a cuota fija hasta 30 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Microempresas
     Préstamos  a cuota fija de 31 a 90 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Microempresas
     Préstamos  a cuota fija de 91 a 180 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Microempresas
     Préstamos a cuota fija de 181 a 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Microempresas
     Préstamos a cuota fija a más de 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Microempresas
     Tarjetas de Crédito;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Consumo
     Préstamos Revolventes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Consumo
     Préstamos no  Revolventes para automóviles;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad hasta 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Consumo
     Préstamos no  Revolventes para libre disponibilidad a más de 360 días;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Consumo
     Créditos pignoraticios;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Consumo
     Préstamos hipotecarios para vivienda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;01/05/2023;Hipotecarios
